Month,smoothed
1949-01-01,112.0
1949-02-01,115.52941176470587
1949-03-01,123.05022831050229
1949-04-01,125.3991314646664
1949-05-01,123.81277270924237
1949-06-01,127.6164383561644
1949-07-01,134.2803049150669
1949-08-01,138.64800251549318
1949-09-01,137.82019681493242
1949-10-01,132.01001450086247
1949-11-01,123.43750360001468
1949-12-01,121.78335700187284
1950-01-01,119.72844001396832
1950-02-01,121.62275569580464
1950-03-01,127.46365903493941
1950-04-01,129.7321000186288
1950-05-01,128.30915981994224
1950-06-01,134.52653633441906
1950-07-01,145.18072002641242
1950-08-01,152.63244992265126
1950-09-01,154.24361485536542
1950-10-01,147.8680376621651
1950-11-01,137.70484482494626
1950-12-01,138.3935233153356
1951-01-01,140.37573214854132
1951-02-01,143.26328357230108
1951-03-01,153.684983335122
1951-04-01,156.47961688396612
1951-05-01,161.13588174611658
1951-06-01,166.1952312566819
1951-07-01,176.03681715567484
1951-08-01,182.92584809333655
1951-09-01,183.24809615663332
1951-10-01,176.87363281298806
1951-11-01,167.6115078824311
1951-12-01,167.12805423571285
1952-01-01,168.2896401211482
1952-02-01,171.8027526495599
1952-03-01,178.1619326386439
1952-04-01,179.01335338913378
1952-05-01,180.20934790542017
1952-06-01,191.54654707069963
1952-07-01,203.0825854687464
1952-08-01,214.75781161287938
1952-09-01,213.03046794417787
1952-10-01,206.4213270658679
1952-11-01,196.09492840465953
1952-12-01,195.4664498601944
1953-01-01,195.62651490624853
1953-02-01,195.73856043638906
1953-03-01,207.8169924575308
1953-04-01,215.97189479213645
1953-05-01,219.8803263786056
1953-06-01,226.81622849497393
1953-07-01,237.97135998020016
1953-08-01,248.1799520077402
1953-09-01,244.8259664004505
1953-10-01,234.67817646979435
1953-11-01,218.27472351695133
1953-12-01,213.09230645923313
1954-01-01,210.36461452049318
1954-02-01,203.65523016267502
1954-03-01,213.05866111551106
1954-04-01,217.2410627813679
1954-05-01,222.26874394738678
1954-06-01,234.788120763919
1954-07-01,254.9516845355869
1954-08-01,266.3661791752451
1954-09-01,264.1563254226263
1954-10-01,253.60942779568705
1954-11-01,238.42659945682843
1954-12-01,235.59861961976003
1955-01-01,237.51903373384147
1955-02-01,236.16332361368435
1955-03-01,245.41432652960137
1955-04-01,252.4900285707329
1955-05-01,257.7430199995193
1955-06-01,274.9201139996777
1955-07-01,301.6440797997899
1955-08-01,315.25085585985846
1955-09-01,314.27559910190064
1955-10-01,302.19291937132806
1955-11-01,282.63504355992694
1955-12-01,281.2445304919487
1956-01-01,282.07117134436413
1956-02-01,280.5498199410548
1956-03-01,291.4848739587387
1956-04-01,297.93941177111725
1956-05-01,303.9575882397822
1956-06-01,324.97031176784776
1956-07-01,351.37921823749366
1956-08-01,367.4654527662456
1956-09-01,363.72581693637187
1956-10-01,346.40807185546026
1956-11-01,323.78565029882213
1956-12-01,318.44995520917547
1957-01-01,317.41496864642284
1957-02-01,312.49047805249603
1957-03-01,325.5433346367472
1957-04-01,332.280334245723
1957-05-01,339.09623397200613
1957-06-01,363.96736378040424
1957-07-01,394.27715464628295
1957-08-01,416.09400825239805
1957-09-01,412.4658057766786
1957-10-01,392.826064043675
1957-11-01,366.47824483057246
1957-12-01,357.33477138140074
1958-01-01,352.1343399669805
1958-02-01,341.8940379768863
1958-03-01,347.92582658382037
1958-04-01,347.9480786086743
1958-05-01,352.46365502607205
1958-06-01,377.22455851825043
1958-07-01,411.3571909627753
1958-08-01,439.4500336739427
1958-09-01,428.8150235717599
1958-10-01,407.87051650023193
1958-11-01,378.5093615501624
1958-12-01,366.05655308511365
1959-01-01,364.23958715957957
1959-02-01,357.56771101170574
1959-03-01,372.097397708194
1959-04-01,379.26817839573584
1959-05-01,391.4877248770151
1959-06-01,415.6414074139106
1959-07-01,455.3489851897374
1959-08-01,486.44428963281615
1959-09-01,479.4110027429713
1959-10-01,457.6877019200799
1959-11-01,428.9813913440559
1959-12-01,421.7869739408391
1960-01-01,420.3508817585873
1960-02-01,411.54561723101114
1960-03-01,413.7819320617078
1960-04-01,427.9473524431955
1960-05-01,441.1631467102368
1960-06-01,469.3142026971658
1960-07-01,515.1199418880161
1960-08-01,542.3839593216113
1960-09-01,532.0687715251279
1960-10-01,510.7481400675895
1960-11-01,474.5236980473126
1960-12-01,461.7665886331188
